id_partida,id_partida_fonte,temporada,data_partida,ano_calendario,mes,dia_semana,hora,home_team,away_team,stadium,ref,public,publico,game_date,home_team_score,away_team_score,resultado,resultado_codigo,link,gols_eventos_mandante,amarelos_mandante,vermelhos_diretos_mandante,segundos_amarelos_mandante,expulsoes_mandante,penaltis_convertidos_mandante,gols_contra_mandante,gols_eventos_visitante,amarelos_visitante,vermelhos_diretos_visitante,segundos_amarelos_visitante,expulsoes_visitante,penaltis_convertidos_visitante,gols_contra_visitante,total_gols,saldo_gols_mandante,total_amarelos,total_expulsoes,teve_expulsao,teve_penalti_convertido,teve_gol_contra,pontos_media_ultimos_5_mandante,vitorias_ultimos_5_mandante,empates_ultimos_5_mandante,derrotas_ultimos_5_mandante,gols_marcados_media_ultimos_5_mandante,gols_sofridos_media_ultimos_5_mandante,saldo_gols_media_ultimos_5_mandante,amarelos_media_ultimos_5_mandante,expulsoes_media_ultimos_5_mandante,aproveitamento_ultimos_5_mandante,jogos_anteriores_mandante,aproveitamento_mandante_em_casa,pontos_media_ultimos_5_visitante,vitorias_ultimos_5_visitante,empates_ultimos_5_visitante,derrotas_ultimos_5_visitante,gols_marcados_media_ultimos_5_visitante,gols_sofridos_media_ultimos_5_visitante,saldo_gols_media_ultimos_5_visitante,amarelos_media_ultimos_5_visitante,expulsoes_media_ultimos_5_visitante,aproveitamento_ultimos_5_visitante,jogos_anteriores_visitante,aproveitamento_visitante_fora,utilizavel_ml
1,3bsncmf0ph1ineln09ljzxgtm,2020,2020-08-08 19:00:00,2020,8,sábado,19,Fortaleza EC,Club Athletico Paranaense,Castelão,Braulio da Silva Machado,No data,,8 de agosto de 2020 19:00,0,2,away_win,2,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/3bsncmf0ph1ineln09ljzxgtm,0,3,1,0,1,0,0,2,2,0,0,0,0,0,2,-2,5,1,1,0,0,,,,,,,,,,,0,,,,,,,,,,,,0,,0
2,3bi42kd4unso8o8xcb3uf2s8a,2020,2020-08-08 19:30:00,2020,8,sábado,19,Coritiba FBC,SC Internacional,Couto Pereira,Bruno Arleu de Araújo,No data,,8 de agosto de 2020 19:30,0,1,away_win,2,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/3bi42kd4unso8o8xcb3uf2s8a,0,3,0,0,0,0,0,1,4,0,0,0,0,0,1,-1,7,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,0,,0
3,3b8f88c11wk55mpx2awedql4a,2020,2020-08-08 21:00:00,2020,8,sábado,21,SC do Recife,Ceará SC,Ilha do Retiro,Edina Alves Batista,No data,,8 de agosto de 2020 21:00,3,2,home_win,0,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/3b8f88c11wk55mpx2awedql4a,3,3,0,0,0,1,0,2,3,0,0,0,0,0,5,1,6,0,0,1,0,,,,,,,,,,,0,,,,,,,,,,,,0,,0
4,39itqdrm9wuvukv6f8r3b2ve2,2020,2020-08-09 16:00:00,2020,8,domingo,16,CR Flamengo,Clube Atlético Mineiro,Estádio Jornalista Mário Filho (Maracanã),Raphael Claus,No data,,9 de agosto de 2020 16:00,0,1,away_win,2,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/39itqdrm9wuvukv6f8r3b2ve2,0,3,0,0,0,0,0,1,2,0,0,0,0,1,1,-1,5,0,0,0,1,,,,,,,,,,,0,,,,,,,,,,,,0,,0
5,3ae3e0q3biy38axql4mv4dsoa,2020,2020-08-09 16:00:00,2020,8,domingo,16,Santos FC Sao Paulo,Red Bull Bragantino,Vila Belmiro,Ricardo Marques Ribeiro,No data,,9 de agosto de 2020 16:00,1,1,draw,1,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/3ae3e0q3biy38axql4mv4dsoa,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,0,,0
6,3axbyg76gagl9id8ntkxcwui2,2020,2020-08-09 19:00:00,2020,8,domingo,19,Grêmio FB Porto Alegrense,Fluminense FC,Arena do Grêmio,Wilton Pereira Sampaio,No data,,9 de agosto de 2020 19:00,1,0,home_win,0,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/3axbyg76gagl9id8ntkxcwui2,1,2,0,0,0,0,0,0,3,0,0,0,0,0,1,1,5,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,0,,0
7,3d2j39ovz4nk9wj3koj76qv6y,2020,2020-08-12 19:15:00,2020,8,quarta-feira,19,Red Bull Bragantino,Botafogo FR,Nabizão,André Luiz de Freitas Castro,No data,,12 de agosto de 2020 19:15,1,1,draw,1,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/3d2j39ovz4nk9wj3koj76qv6y,1,3,0,0,0,0,0,1,1,0,0,0,0,0,2,0,4,0,0,0,0,,,,,,,,,,,1,,,,,,,,,,,,0,,0
8,3d8buc0qnb2i849mjlx66ey5m,2020,2020-08-12 19:15:00,2020,8,quarta-feira,19,Clube Atlético Mineiro,SC Corinthians Paulista,Mineirão,Wagner do Nascimento Magalhaes,No data,,12 de agosto de 2020 19:15,3,2,home_win,0,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/3d8buc0qnb2i849mjlx66ey5m,3,0,0,0,0,0,0,2,1,0,0,0,0,0,5,1,1,0,0,0,0,,,,,,,,,,,1,,,,,,,,,,,,0,,0
9,3dpf10h8f09xnu8x19ks0l9be,2020,2020-08-12 19:15:00,2020,8,quarta-feira,19,Club Athletico Paranaense,Goiás EC,Arena da Baixada,Diego Pombo Lopez,No data,,12 de agosto de 2020 19:15,2,1,home_win,0,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/3dpf10h8f09xnu8x19ks0l9be,2,3,0,0,0,0,0,1,3,0,0,0,1,0,3,1,6,0,0,1,0,,,,,,,,,,,1,,,,,,,,,,,,0,,0
10,3djknx1strnyxaxr2hh6godii,2020,2020-08-12 20:30:00,2020,8,quarta-feira,20,EC Bahia,Coritiba FBC,Pituaçu,Flavio Rodrigues De Souza,No data,,12 de agosto de 2020 20:30,1,0,home_win,0,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/3djknx1strnyxaxr2hh6godii,1,0,0,0,0,1,0,0,5,0,0,0,0,0,1,1,5,0,0,1,0,,,,,,,,,,,0,,,,,,,,,,,,1,,0
11,3dzdx0b3fvyg0lqnvhxmjh5re,2020,2020-08-12 20:30:00,2020,8,quarta-feira,20,Atlético Goianiense,CR Flamengo,Estádio Olímpico Pedro Ludovico Teixeira,Luiz Flávio de Oliveira,No data,,12 de agosto de 2020 20:30,3,0,home_win,0,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/3dzdx0b3fvyg0lqnvhxmjh5re,3,1,0,0,0,0,0,0,1,1,0,1,0,0,3,3,2,1,1,0,0,,,,,,,,,,,0,,,,,,,,,,,,1,,0
12,3ccvkh3vydouatzjly9wpzip6,2020,2020-08-12 21:30:00,2020,8,quarta-feira,21,Fluminense FC,SE Palmeiras,Estádio Jornalista Mário Filho (Maracanã),Rafael Traci,No data,,12 de agosto de 2020 21:30,1,1,draw,1,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/3ccvkh3vydouatzjly9wpzip6,1,3,0,0,0,0,0,1,3,0,0,0,0,0,2,0,6,0,0,0,0,,,,,,,,,,,1,,,,,,,,,,,,0,,0
13,3du4marq9bpspmgxxuuq9goru,2020,2020-08-12 21:30:00,2020,8,quarta-feira,21,Ceará SC,Grêmio FB Porto Alegrense,Castelão,Caio Max Augusto Vieira,No data,,12 de agosto de 2020 21:30,1,1,draw,1,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/3du4marq9bpspmgxxuuq9goru,1,3,0,0,0,0,0,1,1,0,0,0,0,0,2,0,4,0,0,0,0,,,,,,,,,,,1,,,,,,,,,,,,1,,0
14,3cube1nxxsvxl41ial0ac0ine,2020,2020-08-13 19:15:00,2020,8,quinta-feira,19,São Paulo FC,Fortaleza EC,Morumbi,Leandro Pedro Vuaden,No data,,13 de agosto de 2020 19:15,1,0,home_win,0,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/3cube1nxxsvxl41ial0ac0ine,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,3,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,1,,0
15,3ddkuj1hgpjpod4wxpmyzmove,2020,2020-08-13 19:30:00,2020,8,quinta-feira,19,SC Internacional,Santos FC Sao Paulo,Beira-Rio,Marcelo de Lima Henrique,No data,,13 de agosto de 2020 19:30,2,0,home_win,0,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/3ddkuj1hgpjpod4wxpmyzmove,2,2,0,0,0,0,0,0,3,0,0,0,0,0,2,2,5,0,0,0,0,,,,,,,,,,,1,,,,,,,,,,,,1,,0
16,3ckvgs2dzxzp5ibefxk3wiane,2020,2020-08-13 20:00:00,2020,8,quinta-feira,20,CR Vasco da Gama,SC do Recife,São Januário,Rodolpho Toski Marques,No data,,13 de agosto de 2020 20:00,2,0,home_win,0,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/3ckvgs2dzxzp5ibefxk3wiane,2,2,0,0,0,0,0,0,3,1,0,1,0,0,2,2,5,1,1,0,0,,,,,,,,,,,0,,,,,,,,,,,,1,,0
17,3evz5i5qn16rnxh2lfbh1syga,2020,2020-08-15 19:00:00,2020,8,sábado,19,Grêmio FB Porto Alegrense,SC Corinthians Paulista,Arena do Grêmio,Bruno Arleu de Araújo,No data,,15 de agosto de 2020 19:00,0,0,draw,1,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/3evz5i5qn16rnxh2lfbh1syga,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,,,,,,,,,,,2,,,,,,,,,,,,1,,0
18,3f7xozr1vdzjd9rodtwsk6r1m,2020,2020-08-15 19:30:00,2020,8,sábado,19,Coritiba FBC,CR Flamengo,Couto Pereira,Rodrigo D'Alonso Ferreira,No data,,15 de agosto de 2020 19:30,0,1,away_win,2,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/3f7xozr1vdzjd9rodtwsk6r1m,0,5,0,1,1,0,0,1,3,0,0,0,0,0,1,-1,8,1,1,0,0,,,,,,,,,,,2,,,,,,,,,,,,2,,0
19,3eeybehcvl45ewu937n8q9pbe,2020,2020-08-15 21:30:00,2020,8,sábado,21,SE Palmeiras,Goiás EC,Allianz Parque,Paulo Roberto Alves Júnior,No data,,15 de agosto de 2020 21:30,1,1,draw,1,https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/3eeybehcvl45ewu937n8q9pbe,1,1,0,0,0,0,0,1,3,0,0,0,0,0,2,0,4,0,0,0,0,,,,,,,,,,,1,,,,,,,,,,,,1,,0
